Fullname,Course,Score,Experience,StudyProgram,CleanedStudyProgram
James Scott,Doctor of Medicine (M.D.),73.0,nursing,campus-PT,Campus-PT
Jeffrey Miles,Doctor of Dental Surgery (D.D.S.),92.0,surgery,campus-N/A,Campus-FT
Andrew Green,Doctor of Medicine (M.D.),73.0,nursing,campus-FT,Campus-FT
Stephanie Warner,Doctor of Dental Surgery (D.D.S.),78.0,physiotherapy,online-N/A,Online-FT
Marie Mcintyre,Doctor of Dental Surgery (D.D.S.),69.0,surgery,online-PT,Online-PT
Melanie Silva,Doctor of Veterinary Medicine (D.V.M.),60.0,nursing,online-FT,Online-FT
Jaime Lopez,Doctor of Dental Medicine (D.M.D.),58.0,immunology,online-N/A,Online-FT
Reginald Owens,Doctor of Osteopathic Medicine (D.O.),60.0,physiotherapy,campus-FT,Campus-FT
Ashley Harris,Doctor of Pharmacy (Pharm.D.),96.0,nutrition,N/A-FT,Campus-FT
Maria Harris,Master of Health Administration (M.H.A.),77.0,surgery,N/A-FT,Campus-FT
Thomas Boyer,Bachelor of Science in Biomedical Science (B.S.),86.0,immunology,online-N/A,Online-FT
Holly Friedman,Bachelor of Science in Nursing (B.S.N.),82.0,physiotherapy,online-N/A,Online-FT
Rebecca Cook DVM,Doctor of Pharmacy (Pharm.D.),63.0,nursing,N/A-N/A,Campus-FT
Amy Tucker,Doctor of Dental Surgery (D.D.S.),62.0,physiotherapy,N/A-FT,Campus-FT
John Young PhD,Doctor of Dental Medicine (D.M.D.),100.0,nutrition,online-N/A,Online-FT
Amber Blair,Master of Health Administration (M.H.A.),93.0,surgery,N/A-N/A,Campus-FT
James Ramsey,Doctor of Optometry (O.D.),56.0,nursing,N/A-N/A,Campus-FT
Theresa Robinson,Doctor of Dental Surgery (D.D.S.),85.0,dentistry,N/A-PT,Campus-PT
Elizabeth White,Bachelor of Science in Nursing (B.S.N.),60.0,physiotherapy,online-FT,Online-FT
Timothy Rodriguez,Doctor of Optometry (O.D.),82.0,dentistry,campus-PT,Campus-PT
Christopher Gonzalez,Bachelor of Science in Biomedical Science (B.S.),75.0,surgery,online-N/A,Online-FT
Alyssa Wilson,Doctor of Medicine (M.D.),92.0,surgery,online-FT,Online-FT
Taylor Branch,Doctor of Veterinary Medicine (D.V.M.),78.0,None,N/A-PT,Campus-PT
Andrew Carr,Doctor of Optometry (O.D.),91.0,None,N/A-FT,Campus-FT
Carl Schroeder,Doctor of Physical Therapy (D.P.T.),80.0,nutrition,campus-PT,Campus-PT
Jason Floyd,Doctor of Veterinary Medicine (D.V.M.),82.0,nutrition,campus-N/A,Campus-FT
Christopher Bradley,Bachelor of Science in Nursing (B.S.N.),99.0,dentistry,online-N/A,Online-FT
Jennifer Lucas,Master of Health Administration (M.H.A.),83.0,nutrition,campus-N/A,Campus-FT
Rhonda Smith,Doctor of Nursing Practice (D.N.P.),97.0,immunology,online-N/A,Online-FT
Robert Wilson,Doctor of Podiatric Medicine (D.P.M.),58.0,immunology,N/A-N/A,Campus-FT
Nicole Maynard,Bachelor of Science in Nursing (B.S.N.),94.0,None,online-PT,Online-PT
Tammy Cox,Doctor of Osteopathic Medicine (D.O.),75.0,None,online-FT,Online-FT
Deborah Martin,Bachelor of Science in Nursing (B.S.N.),88.0,nutrition,campus-FT,Campus-FT
Gregory Parrish,Bachelor of Science in Nursing (B.S.N.),72.0,immunology,N/A-N/A,Campus-FT
Brenda Taylor,Doctor of Nursing Practice (D.N.P.),96.0,dentistry,online-N/A,Online-FT
Danielle Casey,Doctor of Pharmacy (Pharm.D.),96.0,nursing,campus-PT,Campus-PT
Anna Clark,Doctor of Chiropractic (D.C.),67.0,physiotherapy,campus-PT,Campus-PT
Heather Peck,Doctor of Dental Medicine (D.M.D.),76.0,physiotherapy,online-N/A,Online-FT
David Scott,Doctor of Physical Therapy (D.P.T.),50.0,surgery,online-N/A,Online-FT
Daniel Hicks,Doctor of Optometry (O.D.),82.0,immunology,campus-PT,Campus-PT
Gabriella Henry,Doctor of Medicine (M.D.),85.0,nutrition,online-N/A,Online-FT
Paul Phillips,Doctor of Dental Medicine (D.M.D.),58.0,physiotherapy,online-N/A,Online-FT
David Campbell,Doctor of Physical Therapy (D.P.T.),90.0,dentistry,N/A-FT,Campus-FT
Timothy Baldwin,Master of Health Administration (M.H.A.),80.0,None,campus-PT,Campus-PT
Renee Cole,Bachelor of Science in Biomedical Science (B.S.),96.0,nursing,online-N/A,Online-FT
Caroline Bryant,Bachelor of Science in Biomedical Science (B.S.),62.0,dentistry,campus-PT,Campus-PT
Erica Obrien,Doctor of Nursing Practice (D.N.P.),52.0,physiotherapy,N/A-PT,Campus-PT
Jeremy White,Doctor of Osteopathic Medicine (D.O.),85.0,None,campus-FT,Campus-FT
Lisa Barnes,Doctor of Dental Surgery (D.D.S.),82.0,None,online-FT,Online-FT
Kathryn Jones,Master of Health Administration (M.H.A.),50.0,surgery,campus-PT,Campus-PT
Chad Watson,Doctor of Optometry (O.D.),91.0,None,N/A-FT,Campus-FT
James Reeves,Doctor of Osteopathic Medicine (D.O.),60.0,surgery,online-PT,Online-PT
Jesse Mitchell,Doctor of Veterinary Medicine (D.V.M.),98.0,physiotherapy,campus-PT,Campus-PT
Bethany Davis,Doctor of Dental Surgery (D.D.S.),76.0,nursing,N/A-PT,Campus-PT
Steven Mitchell,Doctor of Veterinary Medicine (D.V.M.),74.0,dentistry,campus-FT,Campus-FT
Samuel Taylor,Doctor of Osteopathic Medicine (D.O.),58.0,immunology,N/A-FT,Campus-FT
Brian Christensen Jr.,Bachelor of Science in Biomedical Science (B.S.),52.0,nutrition,campus-FT,Campus-FT
Keith Avery,Bachelor of Science in Nursing (B.S.N.),76.0,nursing,online-FT,Online-FT
Molly Simmons,Doctor of Dental Medicine (D.M.D.),83.0,None,N/A-FT,Campus-FT
Jason Cabrera,Doctor of Veterinary Medicine (D.V.M.),88.0,nutrition,N/A-FT,Campus-FT
Peter Sutton,Doctor of Dental Surgery (D.D.S.),85.0,physiotherapy,online-FT,Online-FT
Candace Zimmerman,Doctor of Medicine (M.D.),100.0,physiotherapy,online-PT,Online-PT
Jeffrey Thornton,Doctor of Dental Surgery (D.D.S.),91.0,nursing,N/A-N/A,Campus-FT
Kathryn Baker,Doctor of Dental Surgery (D.D.S.),64.0,physiotherapy,online-FT,Online-FT
Lance Ellis,Doctor of Medicine (M.D.),69.0,surgery,N/A-PT,Campus-PT
Christina Logan,Doctor of Nursing Practice (D.N.P.),61.0,nursing,N/A-PT,Campus-PT
Maria Kim,Bachelor of Science in Biomedical Science (B.S.),80.0,nutrition,online-PT,Online-PT
Kristen Patel,Doctor of Nursing Practice (D.N.P.),70.0,surgery,online-PT,Online-PT
Shawn Chen,Doctor of Dental Medicine (D.M.D.),73.0,nutrition,N/A-N/A,Campus-FT
Karen Pope,Bachelor of Science in Nursing (B.S.N.),77.0,nursing,campus-PT,Campus-PT
